Time (fs)	Ex (arb. u.)	Ey (arb. u.)
0.306411478671	-0.0828717394687	-0.103904864284
0.308085858336	-0.103175087478	0.0141441413152
0.309760238001	-0.120088297054	0.126800649123
0.311434617666	-0.133314695178	0.230810277109
0.313108997331	-0.142673378574	0.323375288271
0.314783376996	-0.148095824441	0.402214682257
0.31645775666	-0.14961964184	0.465603076776
0.318132136325	-0.147379932716	0.512388872609
0.31980651599	-0.141598744828	0.541992845112
0.321480895655	-0.132573096302	0.554388845527
0.32315527532	-0.120662037126	0.550068721118
0.324829654985	-0.106273189933	0.529993872995
0.32650403465	-0.0898491829759	0.49553606787
0.328178414314	-0.0718543533826	0.448410211513
0.329852793979	-0.0527620586854	0.39060178715
0.331527173644	-0.0330428893416	0.324291572967
0.333201553309	-0.0131540245295	0.251780092326
0.334875932974	0.00647008115503	0.17541403194
0.336550312639	0.0254255497492	0.0975166007583
0.338224692304	0.0433453979446	0.0203235091651
0.339899071969	0.059904303573	-0.0540740633551
0.341573451633	0.074821853672	-0.123778462261
0.343247831298	0.0878643515642	-0.187125779235
0.344922210963	0.0988452977166	-0.242716870174
0.346596590628	0.107624689824	-0.289439025004
0.348270970293	0.114107312537	-0.326478406508
0.349945349958	0.118240207716	-0.353323609716
0.351619729623	0.120009532751	-0.369760897525
0.353294109288	0.119437027323	-0.375861840243
0.354968488952	0.116576316754	-0.371964226178
0.356642868617	0.111509280813	-0.35864721709
0.358317248282	0.104342707877	-0.336701797261
0.359991627947	0.0952054332703	-0.307097609153
0.361666007612	0.0842461257098	-0.270947283979
0.363340387277	0.0716318367662	-0.229469363903
0.365014766942	0.0575473662761	-0.18395087627
0.366689146606	0.0421954245202	-0.135710561493
0.368363526271	0.0257974936378	-0.0860636774453
0.370037905936	0.00859521087436	-0.0362892066907
0.371712285601	-0.0091479802655	0.0123998189286
0.373386665266	-0.0271452333348	0.0588822865734
0.375061044931	-0.0450851350852	0.102150808893
0.376735424596	-0.0626313921305	0.141329056801
0.378409804261	-0.0794238044444	0.175684453915
0.380084183925	-0.0950809556232	0.204636216395
0.38175856359	-0.109205014042	0.22775886738
0.383432943255	-0.121388969468	0.244781493426
0.38510732292	-0.131226522776	0.255583136491
0.386781702585	-0.138324700221	0.260184824235
0.38845608225	-0.142319079045	0.258738828603
0.390130461915	-0.142891292737	0.251515803434
0.39180484158	-0.139788241061	0.238890482003
0.393479221244	-0.132842176089	0.221326612177
0.395153600909	-0.121990589102	0.199361768617
0.396827980574	-0.107294606294	0.173592608423
0.398502360239	-0.0889544373475	0.144661031124
0.400176739904	-0.0673203338774	0.113241570576
0.401851119569	-0.0428975262254	0.0800301921891
0.403525499234	-0.0163437345188	0.0457345034732
0.405199878898	0.0115418952357	0.0110652207243
0.406874258563	0.0398391936258	-0.0232714170691
0.408548638228	0.0675369619925	-0.0565807202427
0.410223017893	0.0935721926101	-0.0881866224923
0.411897397558	0.116877449892	-0.117439302311
0.413571777223	0.136434606822	-0.14372386334
0.415246156888	0.151332398205	-0.166470482832
0.416920536553	0.160824586262	-0.185166266974
0.418594916217	0.164384998805	-0.199368819864
0.420269295882	0.161755361023	-0.208721253398
0.421943675547	0.152981760088	-0.212968058613
0.423618055212	0.138435807703	-0.211970952084
0.425292434877	0.118817131992	-0.205723534745
0.426966814542	0.0951347454782	-0.194363388518
0.428641194207	0.0686660792082	-0.178180120717
0.430315573872	0.0408939911029	-0.157617875732
0.431989953536	0.0134237627555	-0.133270988551
0.433664333201	-0.0121161230983	-0.105871764617
0.435338712866	-0.0341839223149	-0.0762698311823
0.437013092531	-0.0514382960973	-0.0454030966966
0.438687472196	-0.0628476035565	-0.014261041178
0.440361851861	-0.067786127408	0.016158208806
0.442036231526	-0.0661085833784	0.0448948543184
0.44371061119	-0.058195015666	0.071075656549
0.445384990855	-0.0449596618075	0.0939601711837
0.44705937052	-0.0278195399589	0.112981486989
0.448733750185	-0.00862126442271	0.127778006342
0.45040812985	0.0104722370561	0.138213149459
0.452082509515	0.0271300712398	0.144380522826
0.45375688918	0.0390284721721	0.146593041986
0.455431268845	0.0440413880412	0.145355684657
0.457105648509	0.0404330210057	0.141322888234
0.458780028174	0.0270373829892	0.135242988423
0.460454407839	0.00340962956749	0.127893399666
0.462128787504	-0.0300651489565	0.120011335084
0.463803167169	-0.0721178383501	0.112225633176
0.465477546834	-0.120604745091	0.104995600006
0.467151926499	-0.17258510226	0.0985626205749
0.468826306164	-0.224466169243	0.0929196144676
0.470500685828	-0.272210140294	0.0878022289725
0.472175065493	-0.311591857146	0.0827040472319
0.473849445158	-0.338491636812	0.0769161547487
0.475523824823	-0.349203795369	0.0695893078063
0.477198204488	-0.340739030899	0.0598148604015
0.478872584153	-0.311097989563	0.0467187202716
0.480546963818	-0.259494222785	0.0295610999368
0.482221343482	-0.186507357136	0.00783386054676
0.483895723147	-0.0941515048495	-0.0186530712324
0.485570102812	0.0141505315225	-0.0497043396326
0.487244482477	0.133690251582	-0.0846978724814
0.488918862142	0.258689729176	-0.122574944455
0.490593241807	0.382600407943	-0.161864595331
0.492267621472	0.498467424374	-0.200742790896
0.493942001137	0.599337311285	-0.237123959947
0.495616380801	0.67868328227	-0.268779875691
0.497290760466	0.730820440718	-0.293478497576
0.498965140131	0.751283353501	-0.309133550896
0.500639519796	0.737140486765	-0.313954456428
0.502313899461	0.687223875227	-0.30658583592
0.503988279126	0.602257804489	-0.286226252199
0.505662658791	0.484876830608	-0.252717068357
0.507337038456	0.339530663711	-0.206594237485
0.50901141812	0.172280781335	-0.14909831495
0.510685797785	-0.00949940942709	-0.082140828407
0.51236017745	-0.197502955938	-0.00822812926893
0.514034557115	-0.382923572518	0.0696532421205
0.51570893678	-0.556919725723	0.148183031707
0.517383316445	-0.711081151379	0.223876809799
0.51905769611	-0.837870676231	0.293268290592
0.520732075774	-0.931016248232	0.353093369697
0.522406455439	-0.985831629762	0.40046479327
0.524080835104	-0.999448983955	0.433027088349
0.525755214769	-0.970952223754	0.449082765966
0.527429594434	-0.901406095168	0.447682738308
0.529103974099	-0.793782121058	0.428676217129
0.530778353764	-0.652788350645	0.392717910391
0.532452733429	-0.484614999237	0.341232928846
0.534127113093	-0.296612244407	0.276342281884
0.535801492758	-0.0969194701912	0.20075402883
0.537475872423	0.10593299246	0.117626932972
0.539150252088	0.303428117606	0.0304147508351
0.540824631753	0.487451690205	-0.0572999725887
0.542499011418	0.650648207167	-0.141973552621
0.544173391083	0.786727113586	-0.220261562117
0.545847770748	0.890706803862	-0.289164112377
0.547522150412	0.959087746767	-0.346149377234
0.549196530077	0.989950206503	-0.389250236564
0.550870909742	0.982976084385	-0.417130614298
0.552545289407	0.939398179828	-0.429119854824
0.554219669072	0.861883483746	-0.425215214053
0.555894048737	0.754359835119	-0.406054142897
0.557568428402	0.621797302808	-0.37285943333
0.559242808066	0.469956957085	-0.32736142217
0.560917187731	0.305120270671	-0.271702267708
0.562591567396	0.13381227731	-0.208327812813
0.564265947061	-0.0374691109128	-0.139872728458
0.565940326726	-0.202506472617	-0.0690445139702
0.567614706391	-0.355589431797	0.00148845046385
0.569289086056	-0.491706839483	0.0692002024987
0.570963465721	-0.606699132564	0.131798016083
0.572637845385	-0.69736757912	0.187297784548
0.57431222505	-0.761539222797	0.234081945971
